trade_id,date,symbol,quantity,price,client_id
T000467,2025-01-10,META,-15,402.3,C3217
T000468,2025-03-10,META,235,65.29,C1443
T000469,2025-02-03,AMZN,868,277.7,C1934
T000470,2025-02-21,META,410,251.09,C0856
T000471,2025-01-10,NFLX,620,538.24,C2927
T000472,2025-01-19,GOOGL,567,626.21,C1427
T000473,2025-02-27,NFLX,426,797.38,C2051
T000474,2025-01-01,TSLA,336,493.2,C1610
T000475,2025-03-10,MSFT,199,369.65,C4006
T000476,2025-01-04,GOOGL,119,691.57,C2526
T000477,2025-01-16,GOOGL,567,523.98,C2532
T000478,2025-01-24,TSLA,986,357.31,C2531
T000479,2025-03-21,META,963,576.75,C1904
T000480,2025-01-02,AMZN,202,633.61,C1968
T000481,2025-02-01,META,424,700.84,C0899
T000482,2025-03-25,META,-145,229.02,C0505
T000483,2025-01-24,TSLA,-231,222.28,C2102
T000484,2025-01-12,TSLA,232,215.73,C0827
T000485,2025-02-19,NFLX,274,512.67,C3034
T000486,2025-02-04,TSLA,-242,92.75,C3009
T000487,2025-02-02,META,192,668.23,C2808
T000488,2025-02-02,AAPL,-469,701.7,C2471
T000489,2025-03-02,NFLX,5,783.25,C3209
T000490,2025-02-20,NFLX,-136,625.37,C3581
T000491,2025-02-12,META,322,155.83,C0531
T000492,2025-01-12,MSFT,-229,716.38,C3391
T000493,2025-03-08,TSLA,723,441.56,C2571
T000494,2025-03-06,MSFT,53,774.54,C3385
T000495,2025-02-02,META,111,483.36,C0973
T000496,2025-02-09,META,640,451.27,C1923
T000497,2025-03-15,TSLA,805,89.11,C2955
T000498,2025-02-12,AMZN,104,306.19,C2037
T000499,2025-02-13,AMZN,847,752.18,C2459
T000500,2025-01-29,TSLA,-203,500.05,C3642
T000501,2025-01-13,GOOGL,317,310.25,C2529
T000502,2025-01-12,MSFT,644,334.07,C3840
T000503,2025-02-15,AMZN,586,526.36,C3188
T000504,2025-01-02,AAPL,-212,552.23,C3502
T000505,2025-02-04,GOOGL,360,554.22,C4093
T000506,2025-03-28,NFLX,577,121.5,C4227
T000507,2025-03-22,AMZN,-13,485.79,C2576
T000508,2025-03-31,GOOGL,870,513.54,C1631
T000509,2025-01-08,META,172,254.54,C4302
T000510,2025-01-26,MSFT,-302,352.09,C1832
T000511,2025-03-15,META,476,182.9,C3386
T000512,2025-03-31,META,589,181.21,C0759
T000513,2025-02-03,GOOGL,973,127.76,C0515
T000514,2025-01-07,AAPL,-217,373.14,C1008
T000515,2025-03-09,NFLX,-18,536.52,C3710
T000516,2025-02-27,GOOGL,-34,752.92,C1383
T000517,2025-03-16,META,-17,507.81,C1780
T000518,2025-01-29,NFLX,-15,436.67,C2704
T000519,2025-02-05,AMZN,-385,737.93,C2829
T000520,2025-03-30,NFLX,399,349.91,C1777
T000521,2025-01-21,AAPL,-283,422.92,C2499
T000522,2025-02-05,META,346,392.14,C0539
T000523,2025-01-10,MSFT,950,335.51,C0158
T000524,2025-03-14,AMZN,404,548.6,C1910
T000525,2025-01-24,MSFT,-403,694.32,C2684
T000526,2025-03-05,META,300,749.13,C0984
T000527,2025-02-18,TSLA,-302,467.51,C4679
T000528,2025-02-05,AMZN,-110,633.56,C4074
T000529,2025-03-23,GOOGL,701,509.7,C1462
T000530,2025-01-24,MSFT,51,301.42,C4493
T000531,2025-01-23,GOOGL,448,662.76,C0767
T000532,2025-03-03,NFLX,604,757.29,C1930
T000533,2025-02-06,NFLX,510,191.6,C1626
T000534,2025-01-12,META,433,675.32,C3666
T000535,2025-02-24,AAPL,911,523.52,C1187
T000536,2025-01-13,MSFT,347,732.51,C2713
T000537,2025-01-23,MSFT,70,552.3,C0262
